CountryName,CountryCode,RegionName,RegionCode,Date,H2_Testing.policy
Afghanistan,AFG,,,20200705,1
Afghanistan,AFG,,,20200706,1
Afghanistan,AFG,,,20200707,1
Afghanistan,AFG,,,20200708,1
Afghanistan,AFG,,,20200709,1
Afghanistan,AFG,,,20200710,1
Afghanistan,AFG,,,20200711,1
Afghanistan,AFG,,,20200712,1
Afghanistan,AFG,,,20200713,1
Afghanistan,AFG,,,20200714,1
Afghanistan,AFG,,,20200715,1
Afghanistan,AFG,,,20200716,1
Afghanistan,AFG,,,20200717,1
Afghanistan,AFG,,,20200718,1
Afghanistan,AFG,,,20200719,1
Afghanistan,AFG,,,20200720,1
Afghanistan,AFG,,,20200721,1
Afghanistan,AFG,,,20200722,1
Afghanistan,AFG,,,20200723,1
Afghanistan,AFG,,,20200724,1
Afghanistan,AFG,,,20200725,1
Afghanistan,AFG,,,20200726,1
Afghanistan,AFG,,,20200727,1
Afghanistan,AFG,,,20200728,1
Afghanistan,AFG,,,20200729,1
Afghanistan,AFG,,,20200730,1
Afghanistan,AFG,,,20200731,1
Afghanistan,AFG,,,20200801,1
Afghanistan,AFG,,,20200802,1
Afghanistan,AFG,,,20200803,1
Afghanistan,AFG,,,20200804,1
Afghanistan,AFG,,,20200805,1
Afghanistan,AFG,,,20200806,1
Afghanistan,AFG,,,20200807,1
Afghanistan,AFG,,,20200808,1
Afghanistan,AFG,,,20200809,1
Afghanistan,AFG,,,20200810,1
Afghanistan,AFG,,,20200811,1
Afghanistan,AFG,,,20200812,1
Afghanistan,AFG,,,20200813,1
Afghanistan,AFG,,,20200814,1
Afghanistan,AFG,,,20200815,1
Afghanistan,AFG,,,20200816,1
Afghanistan,AFG,,,20200817,1
Afghanistan,AFG,,,20200818,3
Afghanistan,AFG,,,20200819,3
Afghanistan,AFG,,,20200820,3
Afghanistan,AFG,,,20200821,3
Afghanistan,AFG,,,20200822,3
Afghanistan,AFG,,,20200823,3
Afghanistan,AFG,,,20200824,3
Afghanistan,AFG,,,20200825,3
Afghanistan,AFG,,,20200826,3
Afghanistan,AFG,,,20200827,NA
Afghanistan,AFG,,,20200828,NA
Afghanistan,AFG,,,20200829,NA
Afghanistan,AFG,,,20200830,NA
Afghanistan,AFG,,,20200831,NA
Afghanistan,AFG,,,20200901,NA
Afghanistan,AFG,,,20200902,NA
Angola,AGO,,,20200101,0
Angola,AGO,,,20200102,0
Angola,AGO,,,20200103,0
